LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.4,11.2,11.6,"11.4","11.2","11.6","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,15.1,13.8,16.4,"15.1","13.8","16.4","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,8.3,7.3,9.5,"8.3","7.3","9.5","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11,10.3,11.9,"11.00","10.3","11.9","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.5,11.4,13.6,"12.5","11.4","13.6","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.6,10.6,12.7,"11.6","10.6","12.7","%","Crude Prevalence","CRDPREV","","","5"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,7,6.5,7.6,"7.00","6.5","7.6","%","Crude Prevalence","CRDPREV","","","5"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,10.8,9.9,11.8,"10.8","9.9","11.8","%","Crude Prevalence","CRDPREV","","","5"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12,10.7,13.4,"12.00","10.7","13.4","%","Crude Prevalence","CRDPREV","","","5"
"DC","District of Columbia","11","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,7.7,6.7,8.9,"7.7","6.7","8.9","%","Crude Prevalence","CRDPREV","","","5"
"FL","Florida","12","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,"null","null","null","","","","%","Crude Prevalence","CRDPREV","No data available","*","5"
"GA","Georgia","13","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.3,11.3,13.3,"12.3","11.3","13.3","%","Crude Prevalence","CRDPREV","","","5"
"GU","Guam","66","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.5,8.4,15.5,"11.5","8.4","15.5","%","Crude Prevalence","CRDPREV","","","5"
"HI","Hawaii","15","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9.5,8.6,10.4,"9.5","8.6","10.4","%","Crude Prevalence","CRDPREV","","","5"
"ID","Idaho","16","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9.8,9,10.6,"9.8","9.00","10.6","%","Crude Prevalence","CRDPREV","","","5"
"IL","Illinois","17","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,10.8,9.6,12.2,"10.8","9.6","12.2","%","Crude Prevalence","CRDPREV","","","5"
"IN","Indiana","18","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.1,11.4,12.9,"12.1","11.4","12.9","%","Crude Prevalence","CRDPREV","","","5"
"IA","Iowa","19","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9.7,9,10.5,"9.7","9.00","10.5","%","Crude Prevalence","CRDPREV","","","5"
"KS","Kansas","20","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.1,10.5,11.6,"11.1","10.5","11.6","%","Crude Prevalence","CRDPREV","","","5"
"KY","Kentucky","21","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,13.8,12.6,15.1,"13.8","12.6","15.1","%","Crude Prevalence","CRDPREV","","","5"
"LA","Louisiana","22","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,13.6,12.5,14.9,"13.6","12.5","14.9","%","Crude Prevalence","CRDPREV","","","5"
"ME","Maine","23","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,10.4,9.7,11.2,"10.4","9.7","11.2","%","Crude Prevalence","CRDPREV","","","5"
"MD","Maryland","24","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.1,10.4,11.8,"11.1","10.4","11.8","%","Crude Prevalence","CRDPREV","","","5"
"MA","Massachusetts","25","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,8.9,8.1,9.9,"8.9","8.1","9.9","%","Crude Prevalence","CRDPREV","","","5"
"MI","Michigan","26","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,10.8,10.1,11.6,"10.8","10.1","11.6","%","Crude Prevalence","CRDPREV","","","5"
"MN","Minnesota","27","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9,8.5,9.5,"9.00","8.5","9.5","%","Crude Prevalence","CRDPREV","","","5"
"MS","Mississippi","28","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,15.2,14,16.6,"15.2","14.00","16.6","%","Crude Prevalence","CRDPREV","","","5"
"MO","Missouri","29","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.3,10.5,12.1,"11.3","10.5","12.1","%","Crude Prevalence","CRDPREV","","","5"
"MT","Montana","30","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,8.9,8.1,9.7,"8.9","8.1","9.7","%","Crude Prevalence","CRDPREV","","","5"
"NE","Nebraska","31","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9.6,9,10.3,"9.6","9.00","10.3","%","Crude Prevalence","CRDPREV","","","5"
"NV","Nevada","32","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.5,10,13.3,"11.5","10.00","13.3","%","Crude Prevalence","CRDPREV","","","5"
"NH","New Hampshire","33","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,8.7,7.9,9.6,"8.7","7.9","9.6","%","Crude Prevalence","CRDPREV","","","5"
"NJ","New Jersey","34","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,10.3,9.4,11.1,"10.3","9.4","11.1","%","Crude Prevalence","CRDPREV","","","5"
"NM","New Mexico","35","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,13.2,12.1,14.3,"13.2","12.1","14.3","%","Crude Prevalence","CRDPREV","","","5"
"NY","New York","36","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,11.4,10.9,12,"11.4","10.9","12.00","%","Crude Prevalence","CRDPREV","","","5"
"NC","North Carolina","37","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.7,11.6,13.9,"12.7","11.6","13.9","%","Crude Prevalence","CRDPREV","","","5"
"ND","North Dakota","38","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,9.5,8.7,10.4,"9.5","8.7","10.4","%","Crude Prevalence","CRDPREV","","","5"
"OH","Ohio","39","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.6,11.9,13.3,"12.6","11.9","13.3","%","Crude Prevalence","CRDPREV","","","5"
"OK","Oklahoma","40","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2021,2021,12.8,11.8,13.9,"12.8","11.8","13.9","%","Crude Prevalence","CRDPREV","","","5"
