LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.5,11.2,11.8,"11.5","11.2","11.8","%","Crude Prevalence","CRDPREV","","","5"
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.7,10.5,11,"10.7","10.5","11.00","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,14.1,12.7,15.6,"14.1","12.7","15.6","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,13.8,12.7,15.1,"13.8","12.7","15.1","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,6.6,5.3,8.2,"6.6","5.3","8.2","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8,6.2,10.1,"8.00","6.2","10.1","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.4,10,13,"11.4","10.00","13.00","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.5,9.1,11.9,"10.5","9.1","11.9","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.6,12.1,15.4,"13.6","12.1","15.4","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,13.6,12.1,15.2,"13.6","12.1","15.2","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.5,9.5,11.5,"10.5","9.5","11.5","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.7,8.8,10.7,"9.7","8.8","10.7","%","Crude Prevalence","CRDPREV","","","5"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,7.1,6.3,8,"7.1","6.3","8.00","%","Crude Prevalence","CRDPREV","","","5"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,6.9,6.2,7.7,"6.9","6.2","7.7","%","Crude Prevalence","CRDPREV","","","5"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.4,9.4,11.6,"10.4","9.4","11.6","%","Crude Prevalence","CRDPREV","","","5"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.8,7.8,9.8,"8.8","7.8","9.8","%","Crude Prevalence","CRDPREV","","","5"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.9,12,16.2,"13.9","12.00","16.2","%","Crude Prevalence","CRDPREV","","","5"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,11.7,10,13.7,"11.7","10.00","13.7","%","Crude Prevalence","CRDPREV","","","5"
"DC","District of Columbia","11","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,8.4,6.9,10.2,"8.4","6.9","10.2","%","Crude Prevalence","CRDPREV","","","5"
"DC","District of Columbia","11","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.9,7.4,10.6,"8.9","7.4","10.6","%","Crude Prevalence","CRDPREV","","","5"
"FL","Florida","12","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.7,11.3,14.2,"12.7","11.3","14.2","%","Crude Prevalence","CRDPREV","","","5"
"FL","Florida","12","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.7,9.6,12,"10.7","9.6","12.00","%","Crude Prevalence","CRDPREV","","","5"
"GA","Georgia","13","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11,9.7,12.6,"11.00","9.7","12.6","%","Crude Prevalence","CRDPREV","","","5"
"GA","Georgia","13","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12.8,11.4,14.3,"12.8","11.4","14.3","%","Crude Prevalence","CRDPREV","","","5"
"GU","Guam","66","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.2,10.7,16.3,"13.2","10.7","16.3","%","Crude Prevalence","CRDPREV","","","5"
"GU","Guam","66","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.1,8.2,12.4,"10.1","8.2","12.4","%","Crude Prevalence","CRDPREV","","","5"
"HI","Hawaii","15","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.3,10.1,12.5,"11.3","10.1","12.5","%","Crude Prevalence","CRDPREV","","","5"
"HI","Hawaii","15","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.7,8.5,11,"9.7","8.5","11.00","%","Crude Prevalence","CRDPREV","","","5"
"ID","Idaho","16","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.6,9.1,12.2,"10.6","9.1","12.2","%","Crude Prevalence","CRDPREV","","","5"
"ID","Idaho","16","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10,8.5,11.6,"10.00","8.5","11.6","%","Crude Prevalence","CRDPREV","","","5"
"IL","Illinois","17","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.7,10.4,13.2,"11.7","10.4","13.2","%","Crude Prevalence","CRDPREV","","","5"
"IL","Illinois","17","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.8,9.6,12.1,"10.8","9.6","12.1","%","Crude Prevalence","CRDPREV","","","5"
"IN","Indiana","18","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.6,12.5,14.8,"13.6","12.5","14.8","%","Crude Prevalence","CRDPREV","","","5"
"IN","Indiana","18","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,11.3,10.3,12.4,"11.3","10.3","12.4","%","Crude Prevalence","CRDPREV","","","5"
"IA","Iowa","19","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.1,10.2,12.1,"11.1","10.2","12.1","%","Crude Prevalence","CRDPREV","","","5"
"IA","Iowa","19","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.5,8.7,10.4,"9.5","8.7","10.4","%","Crude Prevalence","CRDPREV","","","5"
"KS","Kansas","20","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.2,10.3,12.2,"11.2","10.3","12.2","%","Crude Prevalence","CRDPREV","","","5"
"KS","Kansas","20","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.4,9.6,11.3,"10.4","9.6","11.3","%","Crude Prevalence","CRDPREV","","","5"
"KY","Kentucky","21","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.7,12.2,15.4,"13.7","12.2","15.4","%","Crude Prevalence","CRDPREV","","","5"
"KY","Kentucky","21","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,13,11.6,14.5,"13.00","11.6","14.5","%","Crude Prevalence","CRDPREV","","","5"
"LA","Louisiana","22","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,13.1,11.5,14.8,"13.1","11.5","14.8","%","Crude Prevalence","CRDPREV","","","5"
"LA","Louisiana","22","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12.1,10.8,13.6,"12.1","10.8","13.6","%","Crude Prevalence","CRDPREV","","","5"
"ME","Maine","23","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.4,10.2,12.7,"11.4","10.2","12.7","%","Crude Prevalence","CRDPREV","","","5"
"ME","Maine","23","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.9,8.9,10.9,"9.9","8.9","10.9","%","Crude Prevalence","CRDPREV","","","5"
"MD","Maryland","24","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.4,10.5,12.4,"11.4","10.5","12.4","%","Crude Prevalence","CRDPREV","","","5"
"MD","Maryland","24","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.6,9.8,11.5,"10.6","9.8","11.5","%","Crude Prevalence","CRDPREV","","","5"
"MA","Massachusetts","25","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,9.3,8.2,10.6,"9.3","8.2","10.6","%","Crude Prevalence","CRDPREV","","","5"
"MA","Massachusetts","25","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,7.6,6.7,8.6,"7.6","6.7","8.6","%","Crude Prevalence","CRDPREV","","","5"
"MI","Michigan","26","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.5,10.4,12.6,"11.5","10.4","12.6","%","Crude Prevalence","CRDPREV","","","5"
"MI","Michigan","26","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.7,9.8,11.7,"10.7","9.8","11.7","%","Crude Prevalence","CRDPREV","","","5"
"MN","Minnesota","27","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,9.2,8.5,10,"9.2","8.5","10.00","%","Crude Prevalence","CRDPREV","","","5"
"MN","Minnesota","27","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.4,7.7,9.1,"8.4","7.7","9.1","%","Crude Prevalence","CRDPREV","","","5"
"MS","Mississippi","28","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,14.2,12.6,15.9,"14.2","12.6","15.9","%","Crude Prevalence","CRDPREV","","","5"
"MS","Mississippi","28","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,15.4,13.9,17,"15.4","13.9","17.00","%","Crude Prevalence","CRDPREV","","","5"
"MO","Missouri","29","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.5,9.3,11.9,"10.5","9.3","11.9","%","Crude Prevalence","CRDPREV","","","5"
"MO","Missouri","29","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.1,9.1,11.3,"10.1","9.1","11.3","%","Crude Prevalence","CRDPREV","","","5"
"MT","Montana","30","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,7.6,6.7,8.7,"7.6","6.7","8.7","%","Crude Prevalence","CRDPREV","","","5"
"MT","Montana","30","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,7.5,6.6,8.6,"7.5","6.6","8.6","%","Crude Prevalence","CRDPREV","","","5"
"NE","Nebraska","31","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.9,10,11.8,"10.9","10.00","11.8","%","Crude Prevalence","CRDPREV","","","5"
"NE","Nebraska","31","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.4,8.7,10.3,"9.4","8.7","10.3","%","Crude Prevalence","CRDPREV","","","5"
"NV","Nevada","32","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,11.2,9,13.9,"11.2","9.00","13.9","%","Crude Prevalence","CRDPREV","","","5"
"NV","Nevada","32","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.6,8.5,13.1,"10.6","8.5","13.1","%","Crude Prevalence","CRDPREV","","","5"
"NH","New Hampshire","33","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.3,9,11.7,"10.3","9.00","11.7","%","Crude Prevalence","CRDPREV","","","5"
"NH","New Hampshire","33","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.2,7.1,9.5,"8.2","7.1","9.5","%","Crude Prevalence","CRDPREV","","","5"
"NJ","New Jersey","34","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,"null","null","null","","","","%","Crude Prevalence","CRDPREV","No data available","*","5"
"NJ","New Jersey","34","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,"null","null","null","","","","%","Crude Prevalence","CRDPREV","No data available","*","5"
"NM","New Mexico","35","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.1,10.6,13.6,"12.1","10.6","13.6","%","Crude Prevalence","CRDPREV","","","5"
"NM","New Mexico","35","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12.4,11,14.1,"12.4","11.00","14.1","%","Crude Prevalence","CRDPREV","","","5"
"NY","New York","36","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.7,9.7,11.8,"10.7","9.7","11.8","%","Crude Prevalence","CRDPREV","","","5"
"NY","New York","36","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,10.3,9.3,11.4,"10.3","9.3","11.4","%","Crude Prevalence","CRDPREV","","","5"
"NC","North Carolina","37","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.7,9.4,12.2,"10.7","9.4","12.2","%","Crude Prevalence","CRDPREV","","","5"
"NC","North Carolina","37","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12.9,11.4,14.5,"12.9","11.4","14.5","%","Crude Prevalence","CRDPREV","","","5"
"ND","North Dakota","38","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,9.4,8.2,10.7,"9.4","8.2","10.7","%","Crude Prevalence","CRDPREV","","","5"
"ND","North Dakota","38","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.4,7.3,9.6,"8.4","7.3","9.6","%","Crude Prevalence","CRDPREV","","","5"
"OH","Ohio","39","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.8,11.6,14.1,"12.8","11.6","14.1","%","Crude Prevalence","CRDPREV","","","5"
"OH","Ohio","39","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,11.2,10.3,12.2,"11.2","10.3","12.2","%","Crude Prevalence","CRDPREV","","","5"
"OK","Oklahoma","40","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.9,11.6,14.3,"12.9","11.6","14.3","%","Crude Prevalence","CRDPREV","","","5"
"OK","Oklahoma","40","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,11.6,10.4,12.8,"11.6","10.4","12.8","%","Crude Prevalence","CRDPREV","","","5"
"OR","Oregon","41","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,8.5,7.5,9.8,"8.5","7.5","9.8","%","Crude Prevalence","CRDPREV","","","5"
"OR","Oregon","41","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.6,7.6,9.8,"8.6","7.6","9.8","%","Crude Prevalence","CRDPREV","","","5"
"PA","Pennsylvania","42","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.6,9.4,12,"10.6","9.4","12.00","%","Crude Prevalence","CRDPREV","","","5"
"PA","Pennsylvania","42","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,11,9.7,12.4,"11.00","9.7","12.4","%","Crude Prevalence","CRDPREV","","","5"
"PR","Puerto Rico","72","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,16.2,14.5,18,"16.2","14.5","18.00","%","Crude Prevalence","CRDPREV","","","5"
